"id","facturapi_id","folio_fiscal","folio","comments","cfdiType","cfdiUse","paymentForm","paymentMethod","currency","expeditionPlace","pdf_file","invoice_status","CFDI_relacionados","folio_fiscal_relacionados","total","paymentStatus","system","date_joined","date_created","date_updated","client_id","operation_id","payment_total","related_service","vistobueno_id","folio_a_reemplazar"
"51501",NULL,NULL,NULL,NULL,"T","G03","99","PPD","MXN","76146","","POR_EMITIR",NULL,NULL,NULL,"POR COBRAR","QRO","2026-03-26","2026-03-26 18:47:45.945178+00","2026-03-26 18:47:34.025846+00","66","50567","0.00","TRASLADO",NULL,NULL
"51500","69c57edb828b96954724053e","228D1C6E-5E2A-462C-8A6A-868339C1F3DD","21460",NULL,"I","G03","99","PPD","MXN","76146","","EMITIDA","","","20720.00","POR COBRAR","QRO","2026-03-26","2026-03-26 18:45:48.031592+00","2026-03-26 18:42:12.719743+00","85","50519","0.00","TRASLADO",NULL,NULL
"51469","69c42d60828b969547f2a9a6","ECF911FC-A21B-4AC5-B25E-0F78BA1E9F47","21416",NULL,"I","G03","99","PPD","MXN","76146","","EMITIDA","","","9702.56","POR COBRAR","QRO","2026-03-25","2026-03-25 18:45:53.597191+00","2026-03-25 18:45:52.657256+00","5","50516","0.00","TRASLADO",NULL,NULL
"51468","69c42d22828b969547f28332","B939B98E-06DA-4CEA-8048-F7CFF9DF4820","21415",NULL,"I","G03","99","PPD","MXN","76146","","EMITIDA","","","11126.08","POR COBRAR","QRO","2026-03-25","2026-03-25 18:44:51.022762+00","2026-03-25 18:44:50.139828+00","5","50515","0.00","TRASLADO",NULL,NULL
