"id","name","identifier","type","address","maps","date_joined","date_created","date_updated","razon_social"
"20","PACHUCA","T423","FORANEA","BLVD. PASEOS DE CHAVARRÍA , , , , ,MINERAL DE LA REFORMA ,HIDALGO","https://goo.gl/maps/moqDANRFUakprqfB6","2023-09-13","2024-10-03 23:26:05.708781+00","2023-09-13 08:31:21.039498+00","ASTURIANO"
"21","GASTUR","T421","FORANEA","BLVD. JOSE MARIA MORELOS ,2513 ,LOCAL 1 ,PRADO HERMOSO , ,LEÓN ,GUANAJUATO","https://goo.gl/maps/NTR7MRuZwL8dhKfv6","2023-09-13","2024-10-03 23:26:05.578692+00","2023-09-13 08:31:21.106494+00","ASTURIANO"
"22","LOS SABINOS","T419","FORANEA","SEGUNDO RETORNO DE LAS PALMAS ,11 , , , ,TEQUISQUIAPAN ,QUERÉTARO","https://goo.gl/maps/LgYhkAuWAbhdeY5k6","2023-09-13","2024-10-03 23:26:05.176569+00","2023-09-13 08:31:21.174491+00","ASTURIANO"
"23","LA FUENTE TX","T416","FORANEA","CARRETERA ESTATAL 200 ,KM 39.5 ,1 ,LA FUENTE ,76786 ,TEQUISQUIAPAN ,QUERÉTARO","https://goo.gl/maps/PowDiv9FbmiJXGhN8","2023-09-13","2024-10-03 23:26:29.700639+00","2023-09-13 08:31:21.243539+00","ASTURIANO"
"24","REAL DEL PALMAR","T413","FORANEA","R6Q3+W6, 39933 Acapulco de Juárez, Gro.","https://goo.gl/maps/ZLvaKioWGPa2LiP79","2023-09-13","2024-10-03 23:26:06.511307+00","2023-09-13 08:31:21.310499+00","ASTURIANO"
"25","ES PROGRESO","T412","FORANEA","CARRETERA PROGRESO-IXMIQUILPAN ,10+725 ,1 ,EL JARDIN ,42740 ,PROGRESO DE OBREGÓN ,HIDALGO","https://goo.gl/maps/JKf2jRRGJQCnTtpZ8","2023-09-13","2024-10-03 23:26:06.772246+00","2023-09-13 08:31:21.379494+00","ASTURIANO"
"26","AV CENTRAL","T403","FORANEA","PASEO CENTRAL ,167 , , , ,SAN JUAN DEL RÍO ,QUERÉTARO","https://goo.gl/maps/KhGzraUCaamG5LJt5","2023-09-13","2024-10-03 23:26:06.249647+00","2023-09-13 08:31:21.448512+00","ASTURIANO"
"27","AIFA","T395","FORANEA","CARRETERA FEDERAL MEXICO PACHUCA ,KM 41.3 , ,LOS REYES ACOSAC ,55743 ,TECAMAC ,ESTADO DE MÉXICO","https://goo.gl/maps/wEbvt5L1BfKvg5gf7","2023-09-13","2024-10-03 23:26:06.053647+00","2023-09-13 08:31:21.521851+00","ASTURIANO"
"28","ZIMAPAN","T394","FORANEA","CARRETERA MEXICO-LAREDO ,31 , ,PLUTARCO ELIAS CALLES ,42344 ,ZIMAPAN ,HIDALGO","https://goo.gl/maps/hsRBpBjsAYoY8JSg6","2023-09-13","2024-10-03 23:26:06.707052+00","2023-09-13 08:31:21.589526+00","ASTURIANO"
"29","EL ARBOL","T390","FORANEA","9C7H+VH San Nicolás Tolentino, Estado de México","https://goo.gl/maps/XW35ZXZfWQJak1Gi8","2023-09-13","2024-10-03 23:26:06.641649+00","2023-09-13 08:31:21.666551+00","ASTURIANO"
"30","GIMNASIO","T387","FORANEA","DOS ,203 ,B ,BOULEVARES ,98065 ,ZACATECAS ,ZACATECAS","https://goo.gl/maps/Qo64sePhsnaoF1Nj9","2023-09-13","2024-10-03 23:26:06.576895+00","2023-09-13 08:31:21.74249+00","ASTURIANO"
"31","GAVILANES","T386","FORANEA","LOS GAVILANES ,205 , , ,98000 ,ZACATECAS ,ZACATECAS","https://goo.gl/maps/9e2EjNJngnb8J6Kg6","2023-09-13","2024-10-03 23:26:07.301632+00","2023-09-13 08:31:21.816499+00","ASTURIANO"
