"id","econ_number","model","brand","color","circulation_card_number","insurance_company","insurance_code","serial_number","license_plate","year","insurance","circulation_card","sua","unit_type","permiso_sct","conf_vehicular","performance","status","fumigation_certified","verificacion_fisico_mecanica","verificacion_de_emisiones","initial_milage","current_milage","photo_1","photo_2","photo_3","photo_4","photo_5","photo_6","fumigation_expiration","insurance_expiration","system","observations","current_state","date_joined","date_created","date_updated","supplier_id","is_rent"
"19","ECO-09-002","2000","INTERNATIONAL","Sin color",NULL,"HDI","831920025","","780WT9",2000,"","","","TRACTO","","","0","Activa","","","",NULL,NULL,"","","","","","",NULL,NULL,"QRO","","Queretaro de Arteaga","2023-07-19","2023-07-19 08:43:20.490222+00","2023-07-19 08:40:24.734742+00",NULL,False
"20","ECO-10-001","2003","CHEVROLET","Sin color",NULL,"AXA","923657463","","151EW3",2003,"","","","UNIDAD 3.5 TN","","C2","0","Activa","","","",NULL,NULL,"","","","","","",NULL,NULL,"QRO","","Queretaro de Arteaga","2023-07-19","2023-07-19 08:43:20.658511+00","2023-07-19 08:40:25.124971+00",NULL,False
"21","EQ-001-003E","2022","RAM","Sin color",NULL,"HDI","264153861","3C7WRAHTXNG106384","48AU4Z",2022,"","","","UNIDAD 3.5 TN","2242STL09122021021001000","C2","0","Activa","","","",NULL,NULL,"","","","","","",NULL,NULL,"QRO",NULL,"Queretaro de Arteaga","2023-07-19","2025-04-08 23:16:14.708175+00","2023-07-19 08:40:25.547388+00","156",False
"22","EQ-004-014G","2002","INTERNATIONAL","Sin color",NULL,"HDI","831920025","3HTNAAAR62N502594","01AF7B",2002,"","","","RABON","2242CANA25102011021001012","C2","0","Activa","","","",NULL,NULL,"","","","","","",NULL,NULL,"QRO","","Queretaro de Arteaga","2023-07-19","2023-09-18 09:06:58.200561+00","2023-07-19 08:40:25.982938+00",NULL,False
"23","EQ-008-001T","2001","KENTWORTH","Sin color",NULL,"HDI","831920025","","046DG7",2001,"","","","TRACTO","","T3S2","0","Activa","","","",NULL,NULL,"","","","","","",NULL,NULL,"QRO","","Queretaro de Arteaga","2023-07-19","2023-09-18 09:06:58.125272+00","2023-07-19 08:40:26.372859+00","10",False
"24","EQ-008-008I","2001","INTERNATIONAL","Sin color",NULL,"HDI","831920025","","35UA7E",2001,"","","","CAJA","","CTR006","0","Activa","","","",NULL,NULL,"","","","","","",NULL,NULL,"QRO","","Queretaro de Arteaga","2023-07-19","2023-09-18 09:06:58.051021+00","2023-07-19 08:40:26.765117+00","10",False
"25","ECO-11-001","2001","Ford","Sin color",NULL,"HDI","831920025","","LC15140",2001,"","","","UNIDAD 1 TN","","VL","0","Activa","","","",NULL,NULL,"","","","","","",NULL,NULL,"QRO","","Queretaro de Arteaga","2023-07-19","2023-07-19 08:43:21.443561+00","2023-07-19 08:40:27.154688+00",NULL,False
"26","EQ-003-003I","2001","KENTWORTH","Sin color",NULL,"HDI","831920025","","39TZ3K",2001,"","","","PLATAFORMA 40’","","CTR021","0","Activa","","","",NULL,NULL,"","","","","","",NULL,NULL,"QRO","","Queretaro de Arteaga","2023-07-19","2023-09-18 09:06:57.978713+00","2023-07-19 08:40:27.539894+00","5",False
"27","EQ-003-009T","2001","KENTWORT","Sin color",NULL,"HDI","831920025","","65AC7U",2001,"","","","TRACTO","","T3S2","0","Activa","","","",NULL,NULL,"","","","","","",NULL,NULL,"QRO","","Queretaro de Arteaga","2023-07-19","2023-09-18 09:06:57.909565+00","2023-07-19 08:40:27.936587+00","5",False
"28","ECO-09-003","2001","KENTWORT","Sin color",NULL,"HDI","831920025","","63AN2E",2001,"","","","TRACTO","","T3S2","0","Activa","","","",NULL,NULL,"","","","","","",NULL,NULL,"QRO","","Queretaro de Arteaga","2023-07-19","2023-07-19 08:43:21.906397+00","2023-07-19 08:40:28.330942+00",NULL,False
