"id","BienesTransp","Cantidad","ClaveUnidad","Descripcion","Moneda","PesoEnKg","MaterialPeligroso","Destino_id","Operation_id"
"10861","13101723",1,"H87:Pieza","LUSIN CLEAN 1010","MXN","15",False,"334","1438"
"10862","13101723",1,"H87:Pieza","LUSIN CLEAN 1010","MXN","15",False,"334","1438"
"10863","13101723",2,"H87:Pieza","LUSIN CLEAN 1500","MXN","30",False,"334","1438"
"10864","15121512",3,"H87:Pieza","CHEM-TREND ML-8262","MXN","516",False,"127","1437"
"10865","12352400",1,"H87:Pieza","CHEM-TREND ML-1102","MXN","15",True,"127","1437"
"10866","12352400",1,"H87:Pieza","CHEM-TREND PU-11165","MXN","158",True,"457","1457"
"10867","12352400",5,"H87:Pieza","CHEM-TREND PU-11361","MXN","74",True,"457","1457"
"10868","15121528",1,"H87:Pieza","CHEM-TREND HF-28","MXN","225",False,"41","1456"
"10869","15121512",2,"H87:Pieza","CHEM-TREND SL-92060","MXN","416",False,"41","1456"
"10870","15121512",1,"H87:Pieza","CHEM-TREND SL-92060","MXN","208",False,"41","1456"
"10871","15121512",4,"H87:Pieza","ZYVAX SEALBRITETM","MXN","16",False,"41","1456"
"10872","15121512",4,"H87:Pieza","ZYVAX SEALBRITETM","MXN","16",False,"41","1456"
"10873","15121512",30,"XBJ:Cubeta","CHEMTREND ML 5401W","MXN","26000",False,"41","1456"
"10874","25172301",2580,"X4C:Caja de  madera natu","PARABRISAS PARA AUTOMOTORES","MXN","11700",False,"197","1455"
"10875","25172303",825,"X4C:Caja de  madera natu","VENTANAS PARA AUTOMOTORES","MXN","12300",False,"197","1455"
"10876","47131800",14,"X8A:Pallet de madera","ABARROTES","MXN","14000",False,"680","1449"
"10877","47131800",14,"X8A:Pallet de madera","ABARROTES","MXN","14000",False,"316","1451"
"10878","47131800",14,"X8A:Pallet de madera","ABARROTES","MXN","14000",False,"629","1452"
"10879","47131800",14,"X8A:Pallet de madera","ABARROTES","MXN","14000",False,"433","1453"
"10880","47131800",14,"X8A:Pallet de madera","ABARROTES","MXN","14000",False,"660","1454"
"10881","47131800",14,"X8A:Pallet de madera","ABARROTES","MXN","14000",False,"624","1450"
"10882","47131800",14,"X8A:Pallet de madera","ABARROTES","MXN","14000",False,"400","1467"
"10883","47131800",14,"X8A:Pallet de madera","ABARROTES","MXN","14000",False,"427","1468"
"10884","12352400",2,"H87:Pieza","CHEM-TREND MOC-10009","MXN","404",True,"382","1469"
"10885","15121512",1,"H87:Pieza","CHEM-TREND SL-3636","MXN","201",False,"382","1469"
"10886","15121512",2,"H87:Pieza","ZYVAX ENVIROSHIELDTM","MXN","8",False,"382","1469"
"10887","15121512",5,"H87:Pieza","ZYVAX ENVIROSHIELDTM","MXN","20",False,"382","1469"
"10888","12352400",1,"H87:Pieza","CHEM-TREND PU-11380","MXN","158",True,"230","1470"
"10889","15121512",3,"H87:Pieza","CHEM-TREND PU-A14202W","MXN","615",False,"230","1470"
"10890","12352400",24,"X4G:Caja de cartón","LUSIN PROTECT G 31","MXN","24",True,"230","1470"
"10891","47131800",14,"X8A:Pallet de madera","ABARROTES","MXN","14000",False,"316","1478"
"10892","47131800",14,"X8A:Pallet de madera","ABARROTES","MXN","14000",False,"401","1479"
"10893","47131800",14,"X8A:Pallet de madera","ABARROTES","MXN","14000",False,"322","1480"
"10894","47131800",14,"X8A:Pallet de madera","ABARROTES","MXN","14000",False,"402","1483"
"10895","15121512",50,"H87:Pieza","ZYVAX WATERSHIELDTM","MXN","200",False,"94","1484"
"10896","15121512",14,"H87:Pieza","ZYVAX WATERSHIELDTM","MXN","56",False,"94","1484"
"10897","12352400",16,"H87:Pieza","CHEMLEASE 15 SEALER EZ","MXN","46",True,"94","1484"
"10898","12352400",4,"H87:Pieza","CHEMLEASE PMR-90 EZ","MXN","11",True,"94","1484"
"10899","12352400",2,"H87:Pieza","CHEMLEASE 15 SEALER EZ","MXN","6",True,"94","1484"
"10900","12352400",1,"H87:Pieza","CHEMLEASE PMR-90 EZ","MXN","3",True,"94","1484"
"10901","12352400",63,"H87:Pieza","CHEMLEASE PMR-90 EZ","MXN","172",True,"94","1484"
"10902","12352400",60,"H87:Pieza","CHEMLEASE 15 SEALER EZ","MXN","172",True,"94","1484"
"10903","13101723",2,"H87:Pieza","ULTRA PURGETM 8416","MXN","40",False,"94","1484"
"10904","13101723",4,"H87:Pieza","ULTRA PURGETM 8416","MXN","80",False,"94","1484"
"10905","12352400",150,"H87:Pieza","CHEMLEASE PMR-90 EZ","MXN","406",True,"94","1485"
"10906","12352400",80,"H87:Pieza","CHEMLEASE 15 SEALER EZ","MXN","230",True,"94","1485"
"10907","12352400",36,"X4G:Caja de cartón","LUSIN PROTECT G 31","MXN","36",True,"94","1485"
"10908","12352400",6,"H87:Pieza","CHEM-TREND PU-13278","MXN","111",True,"700","1486"
"10911","47131800",14,"X8A:Pallet de madera","ABARROTES","MXN","14000",False,"690","1489"
"10912","47131800",14,"X8A:Pallet de madera","ABARROTES","MXN","14000",False,"406","1490"
"10913","47131800",14,"X8A:Pallet de madera","ABARROTES","MXN","14000",False,"629","1491"
"10914","47131800",14,"X8A:Pallet de madera","ABARROTES","MXN","14000",False,"326","1492"
"10915","25172301",2580,"X4C:Caja de  madera natu","PARABRISAS PARA AUTOMOTORES","MXN","11700",False,"197","1493"
"10916","25172303",825,"X4C:Caja de  madera natu","VENTANAS PARA AUTOMOTORES","MXN","12300",False,"197","1493"
"10917","15121512",3,"H87:Pieza","CHEM TREND ML1143","MXN","46",False,"27","1487"
"10918","15121512",2,"H87:Pieza","CHEMTREND ML3087","MXN","1560",False,"27","1487"
"10919","47131800",14,"X8A:Pallet de madera","ABARROTES","MXN","14000",False,"328","1514"
"10920","15121512",15,"H87:Pieza","CHEM-TREND SL-6193A","MXN","3120",False,"21","1505"
"10921","12352400",2,"H87:Pieza","CHEM-TREND PU-11378","MXN","320",True,"15","1504"
"10922","47131800",14,"X8A:Pallet de madera","ABARROTES","MXN","14000",False,"312","1506"
"10923","47131800",14,"X8A:Pallet de madera","ABARROTES","MXN","14000",False,"315","1507"
"10924","47131800",14,"X8A:Pallet de madera","ABARROTES","MXN","14000",False,"638","1508"
"10925","47131800",14,"X8A:Pallet de madera","ABARROTES","MXN","14000",False,"315","1509"
"10926","47131800",14,"X8A:Pallet de madera","ABARROTES","MXN","14000",False,"392","1515"
"10927","47131800",14,"X8A:Pallet de madera","ABARROTES","MXN","14000",False,"405","1519"
